fidx,alpha,embedding,kernel_index,kernel_id,dilation,threshold,triplet_str,kernel_str
96,0.002437848,0.10169806,15,K15,64,-0.068493495,0|3|6,"[2,-1,-1,2,-1,-1,2,-1,-1]"
97,0.001371258,0.41133752,18,K18,4,-0.337828104,0|4|5,"[2,-1,-1,-1,2,2,-1,-1,-1]"
98,-0.001166774,0.61283374,30,K30,2,-0.099510676,1|2|5,"[-1,2,2,-1,-1,2,-1,-1,-1]"
99,0.000449572,0.31766573,57,K57,48,-0.256087334,2|4|8,"[-1,-1,2,-1,2,-1,-1,-1,2]"
100,-0.000702894,0.6106074,73,K73,256,-0.021195448,3|7|8,"[-1,-1,-1,2,-1,-1,-1,2,2]"
101,0.00085859,0.7994978,58,K58,128,-0.017136875,2|5|6,"[-1,-1,2,-1,-1,2,2,-1,-1]"
102,0.000296573,0.46340755,36,K36,16,0.022832247,1|3|6,"[-1,2,-1,2,-1,-1,2,-1,-1]"
103,-0.000487799,0.63963896,80,K80,48,0.107077699,5|6|7,"[-1,-1,-1,-1,-1,2,2,2,-1]"
104,8.33E-05,0.33580023,29,K29,48,0.189541255,1|2|4,"[-1,2,2,-1,2,-1,-1,-1,-1]"
105,5.31E-05,0.49462727,78,K78,192,0.142343407,4|6|8,"[-1,-1,-1,-1,2,-1,2,-1,2]"
106,0.000108156,0.58516204,42,K42,96,0.074559845,1|4|8,"[-1,2,-1,-1,2,-1,-1,-1,2]"
107,8.86E-05,0.4476933,41,K41,4,-0.033975578,1|4|7,"[-1,2,-1,-1,2,-1,-1,2,-1]"
108,0.000711437,0.5554443,74,K74,256,-0.080852061,4|5|6,"[-1,-1,-1,-1,2,2,2,-1,-1]"
109,0.001063814,0.09512399,71,K71,2,0.031789924,3|6|7,"[-1,-1,-1,2,-1,-1,2,2,-1]"
110,-0.000259952,0.4506607,12,K12,8,-0.026911743,0|2|8,"[2,-1,2,-1,-1,-1,-1,-1,2]"
111,0.009337462,0.80735296,80,K80,128,-0.224581256,5|6|7,"[-1,-1,-1,-1,-1,2,2,2,-1]"
112,0.001585092,0.07823006,13,K13,192,-0.066002103,0|3|4,"[2,-1,-1,2,2,-1,-1,-1,-1]"
113,-0.00021573,0.5279939,35,K35,8,0.197395129,1|3|5,"[-1,2,-1,2,-1,2,-1,-1,-1]"
114,2.92E-05,1,49,K49,4,0.043691748,2|3|4,"[-1,-1,2,2,2,-1,-1,-1,-1]"
115,0.00052859,0.4585619,50,K50,4,-0.166732877,2|3|5,"[-1,-1,2,2,-1,2,-1,-1,-1]"
116,-0.000459543,0.62316495,69,K69,1,0.086379233,3|5|7,"[-1,-1,-1,2,-1,2,-1,2,-1]"
117,0.003958632,0.2666697,49,K49,2,0.179443515,2|3|4,"[-1,-1,2,2,2,-1,-1,-1,-1]"
118,0.000508434,0.4821569,32,K32,2,-0.224695214,1|2|7,"[-1,2,2,-1,-1,-1,-1,2,-1]"
119,-0.002258808,0.81868166,40,K40,2,0.425003828,1|4|6,"[-1,2,-1,-1,2,-1,2,-1,-1]"
120,-0.000109009,0.18851094,75,K75,32,0.303131872,4|5|7,"[-1,-1,-1,-1,2,2,-1,2,-1]"
121,4.27E-06,0.5349605,39,K39,96,-0.003827264,1|4|5,"[-1,2,-1,-1,2,2,-1,-1,-1]"
122,0.001140604,0.86257213,56,K56,16,0.297850201,2|4|7,"[-1,-1,2,-1,2,-1,-1,2,-1]"
123,0.000478373,0.4660573,18,K18,2,0.096333541,0|4|5,"[2,-1,-1,-1,2,2,-1,-1,-1]"
124,-0.000174128,0.564066,0,K00,32,0.184431176,0|1|2,"[2,2,2,-1,-1,-1,-1,-1,-1]"
125,3.14E-05,0.46603408,15,K15,128,-0.171668539,0|3|6,"[2,-1,-1,2,-1,-1,2,-1,-1]"
126,0.000100377,0.5010364,3,K03,2,-0.078229982,0|1|5,"[2,2,-1,-1,-1,2,-1,-1,-1]"
127,-0.003037066,0.94163996,25,K25,48,-0.018113155,0|6|7,"[2,-1,-1,-1,-1,-1,2,2,-1]"
128,-0.000202291,0.42139468,19,K19,1,0.012655831,0|4|6,"[2,-1,-1,-1,2,-1,2,-1,-1]"
129,0.000558868,0.5751218,49,K49,1,-0.078892499,2|3|4,"[-1,-1,2,2,2,-1,-1,-1,-1]"
130,-0.003512631,0.010908857,71,K71,1,-0.337433539,3|6|7,"[-1,-1,-1,2,-1,-1,2,2,-1]"
131,-0.000201842,0.46511745,55,K55,32,-0.227021094,2|4|6,"[-1,-1,2,-1,2,-1,2,-1,-1]"
132,-0.00038006,0.9348653,57,K57,32,0.13552344,2|4|8,"[-1,-1,2,-1,2,-1,-1,-1,2]"
133,0.006922315,0.25858393,68,K68,8,-0.061318433,3|5|6,"[-1,-1,-1,2,-1,2,2,-1,-1]"
134,-0.000283944,0.56524724,50,K50,128,0.424541943,2|3|5,"[-1,-1,2,2,-1,2,-1,-1,-1]"
135,-0.002300948,0.93720573,24,K24,48,0.348499726,0|5|8,"[2,-1,-1,-1,-1,2,-1,-1,2]"
136,7.76E-05,0.4460452,1,K01,256,-0.023680357,0|1|3,"[2,2,-1,2,-1,-1,-1,-1,-1]"
137,0.000267427,0.53993607,43,K43,256,0.076359103,1|5|6,"[-1,2,-1,-1,-1,2,2,-1,-1]"
138,0.005729239,0.17622498,13,K13,256,-0.402121251,0|3|4,"[2,-1,-1,2,2,-1,-1,-1,-1]"
139,8.30E-05,0.4958789,38,K38,64,0.192593174,1|3|8,"[-1,2,-1,2,-1,-1,-1,-1,2]"
140,0.000357401,0.5745144,22,K22,16,0.286766675,0|5|6,"[2,-1,-1,-1,-1,2,2,-1,-1]"
141,-0.000310984,0.41506678,14,K14,256,-0.152753552,0|3|5,"[2,-1,-1,2,-1,2,-1,-1,-1]"
142,0.000405354,0.5587656,75,K75,48,-0.155541171,4|5|7,"[-1,-1,-1,-1,2,2,-1,2,-1]"
143,-0.002949972,0.006458927,82,K82,96,-0.107231665,5|7|8,"[-1,-1,-1,-1,-1,2,-1,2,2]"
144,-8.04E-05,0.47917566,10,K10,128,0.197001953,0|2|6,"[2,-1,2,-1,-1,-1,2,-1,-1]"
145,0.001338429,0.61758626,28,K28,128,0.269649975,1|2|3,"[-1,2,2,2,-1,-1,-1,-1,-1]"
146,-0.002638446,0.28404576,63,K63,192,-0.204057111,2|7|8,"[-1,-1,2,-1,-1,-1,-1,2,2]"
147,0.000430984,0.5235568,58,K58,128,-0.063797922,2|5|6,"[-1,-1,2,-1,-1,2,2,-1,-1]"
148,-0.000974812,0.9985105,49,K49,256,0.150078528,2|3|4,"[-1,-1,2,2,2,-1,-1,-1,-1]"
149,0.000880011,0.36325005,58,K58,16,0.076631215,2|5|6,"[-1,-1,2,-1,-1,2,2,-1,-1]"
150,0.000504325,0.53380054,28,K28,96,-0.044182315,1|2|3,"[-1,2,2,2,-1,-1,-1,-1,-1]"
151,-0.003463742,0.118615136,64,K64,48,0.146880356,3|4|5,"[-1,-1,-1,2,2,2,-1,-1,-1]"
152,-2.40E-05,0.47901163,81,K81,1,-0.185445166,5|6|8,"[-1,-1,-1,-1,-1,2,2,-1,2]"
153,0.001421988,0.5932112,70,K70,16,-0.321087157,3|5|8,"[-1,-1,-1,2,-1,2,-1,-1,2]"
154,-0.002447847,0.26228872,6,K06,16,0.170045157,0|1|8,"[2,2,-1,-1,-1,-1,-1,-1,2]"
155,0.000705534,0.5341414,79,K79,192,0.19849125,4|7|8,"[-1,-1,-1,-1,2,-1,-1,2,2]"
156,-0.004008549,0.96748906,34,K34,16,0.333978333,1|3|4,"[-1,2,-1,2,2,-1,-1,-1,-1]"
157,-0.003269517,0.27353555,26,K26,192,-0.043615639,0|6|8,"[2,-1,-1,-1,-1,-1,2,-1,2]"
158,0.006609888,0.7322996,83,K83,8,-0.167691387,6|7|8,"[-1,-1,-1,-1,-1,-1,2,2,2]"
159,-0.001198703,0.20437779,56,K56,64,0.045352218,2|4|7,"[-1,-1,2,-1,2,-1,-1,2,-1]"
160,0.000325324,0.5075203,73,K73,8,0.010514897,3|7|8,"[-1,-1,-1,2,-1,-1,-1,2,2]"
161,0.005587125,0.76574063,26,K26,48,0.044403913,0|6|8,"[2,-1,-1,-1,-1,-1,2,-1,2]"
162,-0.001989341,0.35085082,30,K30,1,0.010285528,1|2|5,"[-1,2,2,-1,-1,2,-1,-1,-1]"
163,0.00219596,0.60403526,25,K25,8,0.339953147,0|6|7,"[2,-1,-1,-1,-1,-1,2,2,-1]"
164,-0.003202439,0.010422284,60,K60,64,0.100512954,2|5|8,"[-1,-1,2,-1,-1,2,-1,-1,2]"
165,-0.000266772,0.477553,66,K66,16,0.342587232,3|4|7,"[-1,-1,-1,2,2,-1,-1,2,-1]"
166,0.004004937,0.66207725,63,K63,256,-0.135396941,2|7|8,"[-1,-1,2,-1,-1,-1,-1,2,2]"
167,-0.001863928,0.36330944,62,K62,4,-0.206013344,2|6|8,"[-1,-1,2,-1,-1,-1,2,-1,2]"
168,-0.000197209,0.51920694,48,K48,4,0.242943424,1|7|8,"[-1,2,-1,-1,-1,-1,-1,2,2]"
169,-0.005442026,0.98240626,61,K61,64,-0.25421766,2|6|7,"[-1,-1,2,-1,-1,-1,2,2,-1]"
170,-0.001235218,0.30864286,10,K10,192,-0.240501926,0|2|6,"[2,-1,2,-1,-1,-1,2,-1,-1]"
171,-0.006441463,0.95513695,10,K10,2,-0.237051894,0|2|6,"[2,-1,2,-1,-1,-1,2,-1,-1]"
